earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
0.02,833353,null,null,1.64,0.0108,608907.92,,7128448.28,747952.40,75933854.06,31887889.12
-0.03,833355,null,null,2.61,-0.0475,-1286946.10,,26853605.76,-2821466.94,131591704.57,49753725.15
0.09,833356,null,null,1.33,0.0665,2227251.04,,7221734.72,2611005.49,64827016.70,31620265.46
0.00,833357,null,null,1.03,-0.0385,-21128.03,,204265.90,-521159.76,41355696.56,27829619.94
null,833359,null,null,null,null,null,,null,null,null,null
0.06,833360,null,null,1.26,0.0281,839666.10,,502859.14,559755.50,20617064.27,1670349.50
0.53,833361,null,null,3.25,0.1594,11464237.20,,23163484.64,11720976.09,109164077.99,39068478.70
0.18,833362,null,null,1.65,0.0679,39137840.81,,76110654.75,52144532.58,935038926.42,567851875.23
-0.11,833363,null,null,2.45,-0.0494,-1678236.85,,-5936240.52,-4595998.01,42412716.46,4217673.70
0.05,833365,null,null,2.38,0.0212,2584782.55,,9001467.92,2649393.79,166072293.17,43337207.42
0.09,833367,null,null,1.55,0.0517,1996324.80,,9132295.51,2091415.84,36913901.03,2891375.78
0.39,833368,null,null,6.34,0.0614,223507753.21,,380802738.35,227408964.07,6904563900.26,3396402960.27
0.08,833369,null,null,1.42,0.0692,3575032.59,,11167498.85,4524119.57,116191822.81,48536010.07
0.05,833370,null,null,1.21,0.0318,1065077.58,,3112436.11,1050563.99,33440522.52,9293279.47
0.01,833372,null,null,2.85,-0.0006,680213.33,,45281177.96,-1229545.57,623435111.99,334979655.53
-0.12,833373,null,null,2.08,-0.0668,-1194385.84,,2913098.10,-1297102.39,23922929.35,3113087.02
0.08,833376,null,null,1.76,0.5833,1291072.03,,2949365.56,1722670.94,35828998.28,6652589.60
-0.09,833378,null,null,1.04,-0.0892,-18395361.67,,-109997790.54,-19197268.83,605806543.16,399828649.19
0.31,833381,null,null,1.22,0.2931,3421141.63,,2234963.98,3426847.48,22967984.45,9559955.20
0.13,833383,null,null,1.32,0.1017,3581967.50,,6202814.08,4859903.21,50673990.33,13660678.09
-0.02,833384,null,null,1.06,-0.0206,-1153147.87,,-3466777.29,-1403304.88,70089387.04,13133788.43
null,833385,null,null,null,null,null,,null,null,null,null
null,833386,null,null,null,null,null,,1316584.24,null,479632687.80,419438621.84
0.37,833387,null,null,2.83,0.1279,4389683.23,,13753479.58,4696018.78,44121771.80,10199868.49
0.25,833388,null,null,2.24,0.1194,3164854.98,,15557647.00,4102815.71,38286148.42,10228501.42
0.02,833389,null,null,2.50,0.0023,1048654.60,,27155414.41,362611.29,198897151.84,44831572.51
0.03,833390,null,null,1.68,0.0123,1607855.87,,21968715.69,1546178.24,162197758.24,67238437.60
0.15,833391,null,null,1.41,0.0777,4606976.95,,4264439.21,6185545.54,89910139.76,45803998.40
0.00,833392,null,null,0.94,-0.0046,-323510.72,,-3038689.38,-304038.68,119457325.36,72436998.75
0.05,833394,null,null,2.01,0.0187,5381181.35,,37332527.27,4748731.44,237511532.83,36148375.36
null,833395,null,null,null,null,null,,null,null,null,null
null,833396,null,null,null,null,null,,null,null,null,null
null,833397,null,null,null,null,null,,null,null,null,8298311.64
0.31,833399,null,null,1.18,0.3030,3116973.23,,1771744.12,3651385.69,14456735.87,2610968.56
0.00,833400,null,null,1.02,-0.0110,10169.22,,-4658581.26,-1035049.72,264180359.88,203185860.72
