earningsPerShare,hqzqdm,income,netAssets,netAssetsPerShare,netAssetsYield,netProfit,noDistributeProfit,nonDistributeProfit,profit,totalAssets,totalLiability
6.1,871736,35651156.68,11620513.75,9.01,.92,6842198.29,8382645.67,,6076920.73,22431704.92,10811191.17
2.58,871967,102956760.99,10675238.59,5.86,.5738,4692910.12,7600909.39,,6427619.46,31753536.83,21078298.24
0,872162,3031451.61,54014497.24,1.07,-.0006,-32973.96,-462503.03,,-18704.42,68274933.89,14260436.65
.02,872166,1031373.99,16884897.88,1.69,.156,234712.7,4166149.45,,254020.2,25077857.31,8192959.43
.01,872172,2726248.18,29385141.02,1.73,.006,174527.67,6174668.44,,189134.5,48675743.32,19290602.3
.08,872176,3494879.15,17596350.63,1.76,.0468,801285.92,1490263.68,,1098000.33,30432075.48,12835724.85
-.03,872178,4541984.89,28422112.73,1.2,-.0283,-817290.94,19214.82,,-961518.75,42022288.71,13600175.98
.1,872181,7809135.86,22688120.27,1.13,.07,587535.92,2419308.24,,820751.9,55821689.58,33133569.31
4.14,835577,null,null,6.95,0.8431,105671781.65,,147604849.37,113435004.96,247051969.01,69601509.53
0.06,835003,null,null,4.43,0.0152,2291591.19,,79414816.42,3651352.08,699517030.44,527511890.40
0.14,831540,null,null,2.65,0.0742,10107922.29,,32564759.53,11745741.12,274665806.61,72007933.10
0.53,833881,null,null,3.96,0.1476,11179692.77,,42664354.67,11182605.39,116838142.52,34429441.31
0.18,834984,null,null,2.38,0.0974,17400652.02,,54894731.48,18429400.60,309039059.63,57128048.98
1.56,430267,null,null,6.11,0.2960,21095845.28,,63426789.39,24955575.75,266140115.35,183703082.14
0.93,833979,null,null,11.56,0.0837,509302431.58,,1882764000.12,482215226.57,10407710194.25,4300115283.78
0.05,872088,null,null,4.51,0.0061,1745288.93,,3754113.63,2294863.26,182642688.48,8860629.46
0.63,836645,null,null,3.45,0.1960,66207350.18,,159048357.09,77902538.85,405813565.70,42118520.68
null,836728,null,null,null,null,null,,null,null,null,null
0.41,834616,null,null,3.34,0.1248,62896827.25,,312387435.32,80850372.58,1806129370.59,1186983558.36
0.21,834406,null,null,1.81,0.0950,8699061.12,,26474400.32,9544718.63,89054488.66,14840637.02
1.02,834742,null,null,4.77,0.2098,64745458.13,,155200970.37,77108916.02,554329577.68,252432903.57
0.24,834013,null,null,1.86,0.1366,13708608.52,,44109001.90,15501443.25,202261293.19,95014187.87
0.94,834818,null,null,2.88,0.3964,343580309.86,,466728225.10,470354671.25,1703903652.20,656467406.60
0.60,835185,null,null,7.49,0.0734,160528000.16,,914471722.78,176904630.69,4412339827.90,2364767749.96
-0.03,835815,null,null,2.02,-0.0162,-17267944.24,,229960609.22,-23043253.45,2159904617.94,1015654809.40
0.24,837638,null,null,3.03,0.0743,52556564.67,,90279408.09,68225325.10,814967926.78,69964200.88
0.43,831415,null,null,1.44,0.1614,17611484.05,,31995510.62,20650950.18,130159380.27,12251240.44
0.17,835995,null,null,1.69,0.1030,14799456.54,,43169140.26,5815797.57,158042585.75,7624757.67
0.03,839152,null,null,1.86,0.0012,516668.85,,10954164.54,265126.35,33869930.09,6038636.16
0.08,831889,null,null,2.56,0.0280,1375589.33,,47837042.90,2750686.29,139874850.54,49777055.86
1.01,839976,null,null,2.70,0.2808,53192597.41,,74811541.97,55558064.83,401350514.80,258846918.39
0.15,832337,null,null,1.87,0.0785,30152153.83,,98154551.91,35297133.25,788313714.71,421853123.59
2.32,870702,null,null,6.14,0.4823,26354770.24,,29780897.27,29938657.14,82076571.29,10739356.61
0.23,838260,null,null,1.30,0.1026,11306150.01,,22450874.31,13563085.20,183576673.17,66716335.67
0.11,833905,null,null,4.32,0.0253,8573157.94,,101073285.28,9498604.95,740914467.24,416677951.86
0.04,834134,null,null,1.13,0.0273,1942746.03,,-2295061.80,1815297.58,61048928.87,1782114.36
0.38,832982,null,null,5.31,0.0744,14883860.18,,46554209.30,17396748.51,238474673.76,31717410.43
0.55,832840,null,null,3.43,0.1448,31805933.65,,103745365.92,36599393.19,329238640.90,131154623.48
0.11,832081,null,null,1.96,0.0526,null,,33362716.70,7613807.74,239483523.29,113318835.05
0.11,871139,null,null,1.99,0.0450,2214207.09,,14149098.55,1924416.99,47660726.05,7925371.35
-0.03,838399,null,null,2.10,-0.0150,-829293.90,,335175.27,-1006153.22,72804852.40,17282611.66
-0.93,870522,null,null,0.02,0.0000,-20476420.59,,-93281005.43,-20171001.18,21077258.55,20614860.43
0.46,839230,null,null,2.16,0.2293,13671412.87,,25529035.56,16605672.49,171939398.69,107125094.04
0.35,831712,null,null,1.44,0.2726,11300004.71,,11645522.99,11626908.22,54003139.96,7030622.48
-0.32,830931,null,null,2.98,-0.1154,-51402912.59,,-85304566.10,-52356053.51,600156627.50,117692739.08
0.33,831302,null,null,7.74,0.0455,4188420.18,,46042482.67,5144514.05,178279406.39,61731529.48
0.07,832966,null,null,1.94,0.0358,3002901.06,,28267163.38,3521955.09,103768109.98,15862425.28
0.06,835072,null,null,1.62,0.0450,31343361.76,,153823863.01,41861963.62,2312892835.89,1504008715.63
0.10,836960,null,null,1.87,0.0561,10345444.34,,32437580.80,14519109.81,474269528.20,275656311.40
0.19,839264,null,null,1.76,0.0650,11193494.96,,37732536.68,12963385.23,391727781.82,285349406.81
0.03,871257,null,null,1.35,-0.0152,1145691.33,,9878808.25,-986287.69,99860267.38,38579263.79
0.60,831920,null,null,6.43,0.0878,50438942.00,,325516373.77,59621736.09,924807378.35,382137080.37
0.74,833321,null,null,4.72,0.1620,72588557.29,,289411519.69,84750413.63,681430964.45,215792332.52
null,835035,null,null,null,null,null,,36681056.41,null,365577767.36,238662936.09
0.03,837630,null,null,1.43,-0.0058,831996.85,,9209138.06,-349673.57,138549812.44,95580071.14
0.02,834797,null,null,1.78,-0.0119,1133556.80,,20019643.36,-1197508.31,307807046.28,205342498.97
0.46,832026,null,null,7.24,0.0653,17018872.30,,54722749.43,19992337.01,541499612.11,273118518.16
-0.18,870103,null,null,1.30,-0.1391,-3846997.16,,-3249330.81,-3852476.09,38813602.57,10870722.28
-0.12,833777,null,null,1.93,-0.0571,-18952074.96,,20359209.06,-18452065.27,211854953.84,30711246.06
0.61,834195,null,null,4.68,0.1324,68415167.03,,266046531.16,73168157.62,542537004.32,22188579.35
-0.02,430201,null,null,1.73,-0.0142,null,,12468846.86,-1791610.61,59292381.19,20365347.41
0.29,832131,null,null,1.18,0.2300,6528068.64,,3917241.79,6080564.30,100208787.29,57657007.98
null,430193,null,null,null,null,null,,null,null,null,null
null,430527,null,null,null,null,null,,null,null,null,null
null,832480,null,null,null,null,null,,null,null,null,null
0.04,836222,null,null,1.49,0.0243,2787131.43,,20783340.09,3485606.51,243128998.60,134198800.11
0.65,837611,null,null,4.64,0.1375,38969517.12,,137742178.39,41285738.32,347100972.09,68843441.95
0.22,870341,null,null,2.35,0.0722,25910231.81,,4510076.04,27538019.32,1288154897.49,957831502.73
0.11,870512,null,null,1.88,0.0192,7397628.79,,35600135.53,6877096.88,201023340.99,77174590.40
0.48,836190,null,null,3.38,0.1983,36031042.99,,71100428.98,41883482.18,468050384.84,176362688.28
null,833994,null,null,null,null,null,,null,null,null,null
0.55,430609,null,null,8.12,0.0704,45268972.73,,159976435.71,53237903.75,787824164.74,122331854.27
0.55,833585,null,null,8.90,0.0610,58416320.97,,219910574.47,68496927.83,1685954497.78,703462369.12
0.77,836229,null,null,3.07,0.2728,8124090.10,,16748083.01,8575645.50,39040913.15,6699649.59
0.61,831971,null,null,2.47,0.2316,25073540.60,,35953074.02,34322620.71,337857087.11,235670938.66
0.26,833382,null,null,3.00,0.0904,14615395.30,,55012737.92,16962045.22,455417937.87,283868872.46
0.37,831764,null,null,4.62,0.1105,13125501.07,,77534435.50,12555940.47,274017804.42,110242376.40
0.20,836785,null,null,1.93,0.0868,7213364.00,,27632097.40,6877988.28,115027378.90,43911351.46
0.07,430092,null,null,2.32,0.0285,26839767.42,,107889330.14,28639826.84,554777194.33,44871348.22
0.03,834243,null,null,2.33,0.0149,8793830.32,,67873563.68,13301997.20,951746723.10,357611112.50
null,837939,null,null,null,null,null,,null,null,null,null
-0.04,834538,null,null,0.85,-0.0533,-2565096.06,,-24781858.68,-2616179.69,159451787.36,69821458.52
0.99,834082,null,null,5.85,0.1678,108984336.89,,236430014.81,145032250.79,5557377562.33,4912857154.66
-0.25,836518,null,null,0.82,-0.2713,-5314844.12,,-41263019.66,-5409044.12,112732091.50,95450197.87
0.12,834155,null,null,1.55,0.0697,11502044.75,,35603144.27,11204352.59,206660142.77,57744085.11
0.02,836277,null,null,1.92,0.0105,435239.55,,10214466.67,20280.91,89091281.60,49940797.90
-0.13,830933,null,null,3.34,-0.0408,-9777466.14,,-77132376.08,-9887699.14,261415229.84,11220281.90
0.55,430005,null,null,4.61,0.1140,80811457.08,,392628725.44,96377961.79,1185549669.95,438864049.23
null,834226,null,null,null,null,null,,null,null,null,null
0.22,834887,null,null,2.59,0.0804,7935244.60,,27014085.59,10181656.13,231864977.20,143756390.84
0.14,836608,null,null,1.15,0.1270,5551588.87,,5552491.19,7585969.89,61160121.58,13862891.10
0.04,837324,null,null,1.60,0.0143,3682902.89,,25341411.47,2633227.02,221579641.56,54968416.20
0.24,834470,null,null,1.29,0.1881,4689950.54,,5462764.35,3830531.64,26631038.34,1371713.83
0.27,836129,null,null,1.67,0.1626,21450174.80,,43524241.02,24264783.67,278099855.58,144069002.65
0.56,430394,null,null,3.43,0.1734,25480044.34,,66351321.16,26622359.00,275151654.19,133792075.56
-0.19,838006,null,null,3.73,-0.1014,-499396230.31,,-7798194900.89,-531258878.95,13924723510.74,3913688308.19
0.56,834825,null,null,9.66,0.0560,29627551.84,,86228807.94,32382644.81,943989024.54,420552414.38
0.38,831344,null,null,4.95,0.0723,26514155.95,,124118615.94,31027586.83,470433575.60,123678641.71
0.92,835265,null,null,17.45,0.0560,40267398.42,,396507671.75,47341753.71,946364361.95,178546756.38
0.59,833375,null,null,2.62,0.1224,6216139.25,,12630738.96,6573071.92,47579617.49,3177387.74
0.24,831628,null,null,4.71,0.0431,97157247.73,,229090095.68,95745992.80,3327849875.31,1426897341.24
-1.24,835268,null,null,-0.64,68.5057,-55414745.12,,-151678590.75,-57406104.47,273002862.36,301540585.89
0.14,832793,null,null,1.88,0.0713,63675547.46,,250280816.40,75777246.21,1041038098.36,218708352.51
0.35,838533,null,null,1.85,0.1801,13767040.75,,18232872.12,17921593.06,173918863.51,95206350.37
0.18,430002,null,null,2.08,0.0795,68829673.83,,299660734.23,84256626.08,3268183506.71,2474815899.39
0.12,833410,null,null,1.56,0.0727,7572641.17,,31197134.84,7725622.35,227742841.18,129751182.56
0.37,834793,null,null,7.68,0.0486,311866764.62,,3398943539.94,399319780.47,17475443772.74,10248861692.84
0.32,832422,null,null,7.24,0.0369,12093585.76,,66533507.42,11301787.29,321196153.88,57916478.24
0.70,831550,null,null,5.94,0.1128,262223636.42,,930456326.07,308414651.87,2422265313.95,195164302.08
-0.23,833330,null,null,2.23,-0.1005,-133948413.79,,-337891420.89,-134813303.41,1327874510.90,23440822.61
0.21,833711,null,null,4.98,0.0302,22899954.99,,138838470.51,25462780.82,581304788.05,33277728.21
0.10,834377,null,null,2.26,0.0272,4310053.41,,22219138.96,3470604.75,138756066.55,39496374.30
0.05,834541,null,null,3.31,0.0026,2705808.47,,77092914.59,-2109478.26,358219549.71,118408509.21
null,835474,null,null,null,null,null,,null,null,null,null
0.09,836703,null,null,1.80,0.0433,null,,14399844.25,2565191.33,110843285.16,53571227.45
0.03,837059,null,null,1.82,0.0114,1086065.73,,9227536.44,752712.05,118352307.33,40134722.11
-0.14,430176,null,null,5.09,-0.0276,-8476349.32,,94342282.09,-9594302.86,382939336.42,76677892.64
-0.26,839550,null,null,0.61,-0.3418,-2652927.52,,-9271598.10,-2626349.64,29030252.97,22673591.01
0.01,831640,null,null,1.29,0.0022,242275.05,,5417853.29,524963.96,53037894.99,13273310.75
0.09,830856,null,null,1.21,0.0651,5394652.49,,11710725.01,5449588.40,116323848.47,42525380.99
0.08,832402,null,null,5.88,0.0108,2039653.79,,35680498.14,2396902.38,223747603.13,73437033.02
0.17,430208,null,null,4.86,0.0354,14506025.83,,114481176.54,16394828.73,471016058.63,57551508.80
0.35,430346,null,null,6.53,0.0512,21136087.74,,96453349.65,23651309.42,541780948.72,136576574.49
0.11,832494,null,null,1.75,0.0642,44768977.83,,77189229.63,56076807.95,3781365605.38,206132574.46
0.35,835885,null,null,5.74,0.0588,37057481.59,,237509295.34,41937301.84,864248835.35,253183481.29
0.12,837855,null,null,1.47,0.0429,2578943.35,,6157177.77,1518662.85,38010513.72,185754.35
0.34,839797,null,null,1.42,0.2664,48146939.65,,45688733.60,62608984.94,521052400.73,264875077.58
0.55,832908,null,null,5.09,0.0730,33799516.46,,40399955.03,23066866.77,484490529.06,169738560.46
0.16,835354,null,null,1.64,0.0928,13756207.03,,46333858.50,13893558.18,194403771.74,51435773.42
0.13,839818,null,null,1.88,0.0710,1331420.90,,5872215.78,1413008.03,37395680.75,18093287.89
null,430517,null,null,null,null,null,,null,null,null,null
0.40,831354,null,null,5.00,0.0794,31265011.55,,156573919.64,45106378.36,1453120017.28,1064508757.95
0.57,831568,null,null,5.27,0.1121,65209712.30,,283531689.43,85123240.90,994097590.15,391845199.77
0.10,833308,null,null,1.67,0.0598,8017342.53,,21101508.61,10052276.17,210356775.93,72286883.92
0.57,870510,null,null,29.99,0.0879,24226668.37,,74728055.84,27057869.74,472207256.28,165146616.01
0.19,430120,null,null,3.96,0.0393,22253122.61,,41976159.36,24574720.47,483012755.29,7660938.84
0.42,833266,null,null,6.21,0.0298,51008374.48,,234392739.06,32452468.18,1095476794.43,343049769.32
null,839211,null,null,null,null,null,,null,null,null,null
0.31,430141,null,null,7.69,0.0405,24646286.52,,203448176.13,29955105.38,1117404350.64,505933192.46
null,833183,null,null,null,null,null,,null,null,null,null
0.15,430445,null,null,2.24,0.0502,null,,19994339.43,18334560.51,364157001.45,135426565.44
0.22,832188,null,null,2.62,0.0796,28945873.99,,140386230.04,34041260.39,453408831.55,105254836.52
0.23,430642,null,null,4.41,0.0859,7873156.81,,46101518.64,9455790.93,219008987.04,46346503.52
0.22,834903,null,null,1.87,0.0608,23375101.00,,146960651.13,27774288.63,432662493.45,36330422.90
null,834342,null,null,null,null,null,,null,null,null,null
0.18,835057,null,null,1.77,0.1056,14180519.71,,51319879.48,14135519.71,150362703.26,8032964.58
0.81,838412,null,null,9.04,0.1128,72892859.30,,465348728.74,77388459.41,1252800017.59,369390699.71
null,839242,null,null,null,null,null,,null,null,null,null
null,832112,null,null,null,null,null,,null,null,null,null
0.57,832737,null,null,8.60,0.0592,119549902.96,,1092629251.15,112942308.62,3012804614.27,1197001492.54
0.37,831185,null,null,2.15,0.1885,12854167.52,,10434348.09,13625320.19,82931440.95,8338449.75
0.13,835778,null,null,1.22,0.1042,6656051.30,,5819142.94,5776742.61,92138136.29,31176640.60
0.54,839128,null,null,5.46,0.0797,56673978.12,,329656725.21,67963734.52,1491032287.77,847210731.38
0.04,836257,null,null,1.30,0.0191,3653760.46,,16462959.09,2391497.92,253293332.83,123475034.94
null,832527,null,null,null,null,null,,null,null,null,null
null,430222,null,null,null,null,null,,null,null,null,null
0.12,871088,null,null,1.23,0.0834,13045154.01,,24704532.21,13573643.44,226102909.59,87209142.72
0.37,830777,null,null,4.44,0.0991,74547823.21,,405713251.36,78710165.48,1137371575.66,201450669.15
0.08,834084,null,null,2.26,0.0363,5340721.68,,50299632.11,6627546.06,178141660.93,28761252.44
null,831981,null,null,null,null,null,,null,null,null,null
null,838908,null,null,null,null,null,,null,null,null,null
0.14,832898,null,null,4.04,0.0183,61589609.81,,545098523.02,69726002.18,2400073978.36,666516188.72
0.11,871172,null,null,1.31,0.0824,21745022.33,,57693489.57,22107217.06,639206408.91,377518645.20
0.37,430243,null,null,3.59,0.1061,14312692.23,,44460857.31,16062409.62,188804427.74,31928846.72
0.32,834832,null,null,3.08,0.1016,16594639.57,,47354427.30,21312113.62,229730364.19,60923703.91
null,831287,null,null,null,null,null,,null,null,null,null
null,834729,null,null,null,null,null,,null,null,null,null
0.46,832102,null,null,3.93,0.1223,11033705.11,,47547717.19,12466528.75,189521315.57,93942970.10
0.14,836455,null,null,2.63,0.0480,14229957.50,,30833348.96,13966332.81,782958133.13,509050225.33
0.40,832645,null,null,3.19,0.1253,19258856.17,,48647156.92,22371012.11,159398842.82,6266714.18
0.07,835517,null,null,2.67,0.0232,10157758.41,,95328876.78,11542611.90,793955681.27,385146842.27
-0.55,837911,null,null,-0.24,-14.0413,-9945347.32,,-25850718.78,-10049120.90,14014927.16,18263321.19
null,430335,null,null,null,null,null,,null,null,null,null
null,831305,null,null,null,null,null,,null,null,null,null
-0.01,834641,null,null,2.20,-0.0040,-2032554.55,,62691943.99,-698638.02,793824108.89,292498480.11
-0.17,833928,null,null,2.58,-0.0927,-9141451.95,,-57519036.93,-9673480.18,141801075.67,3023807.54
null,834376,null,null,null,null,null,,null,null,null,null
null,831688,null,null,null,null,null,,null,null,null,null
0.17,833393,null,null,3.03,0.0560,20354969.23,,184053669.01,22324191.33,409450875.04,40029729.26
0.04,836650,null,null,1.46,0.0220,16920785.08,,149162090.32,21098208.78,2391835919.96,1762571254.65
0.38,833531,null,null,5.76,0.0696,22380802.66,,130960925.89,26008519.86,493361084.13,130257824.39
0.12,832705,null,null,2.38,0.0416,25340709.58,,110902851.89,28213005.56,640104366.75,121606521.75
0.08,832135,null,null,3.18,-0.0193,5310296.03,,133063058.12,-9445514.41,336660705.88,56010990.03
0.22,833684,null,null,1.83,0.1032,42066869.40,,85506220.20,39252203.00,1243739430.12,888630942.81
0.51,837857,null,null,2.99,0.1903,18793321.61,,42175118.80,18793321.61,122509069.35,6237018.61
null,834754,null,null,null,null,null,,null,null,null,null
0.04,835611,null,null,1.26,0.0316,4841459.22,,15024199.19,6632627.66,235021138.30,73520228.50
null,837160,null,null,null,null,null,,null,null,null,null
0.22,833897,null,null,2.35,0.1116,70115564.88,,126701799.89,76452180.14,1027587658.19,117759641.84
0.19,836734,null,null,1.72,0.1096,29404614.88,,61878999.32,37726506.00,491131112.82,221690095.60
0.25,831762,null,null,2.83,0.1159,12762125.08,,38141482.05,15227269.64,196529065.74,26311358.22
0.41,430225,null,null,7.21,0.0553,54199921.71,,415687124.80,69327075.06,1737618566.00,712987860.81
0.29,430497,null,null,3.26,0.0873,11348884.07,,63680495.26,12774536.12,145633622.59,19097126.84
0.09,835572,null,null,2.59,3.6700,9609890.14,,-34384003.11,19103865.15,464988970.57,160378853.75
null,430581,null,null,null,null,null,,null,null,null,null
0.21,837510,null,null,1.80,0.1174,8025281.36,,18433905.42,7853631.35,119009193.02,48965981.78
0.01,839555,null,null,1.18,-0.0136,364711.14,,11070414.61,-1460580.46,156098227.80,68957920.36
0.15,836053,null,null,1.65,0.1120,81746060.96,,-139240510.78,110361938.27,3244842299.66,2238698047.48
null,834620,null,null,null,null,null,,null,null,null,null
-0.58,430178,null,null,2.63,-0.1935,-35692338.75,,-21572766.33,-36905959.04,182106292.27,24370880.04
-0.11,832586,null,null,4.49,-0.0470,-6486886.29,,2847761.30,-4580535.23,424174269.35,51294700.24
null,834961,null,null,null,null,null,,null,null,null,null
null,837023,null,null,null,null,null,,null,null,null,null
0.16,832754,null,null,1.27,0.1290,9497615.25,,12380025.29,9877841.44,79588109.78,1827038.18
null,430097,null,null,null,null,null,,null,null,null,null
0.17,831940,null,null,1.56,0.1178,10250862.58,,23389507.94,12697372.36,105299318.34,8092942.74
0.25,833790,null,null,2.52,0.1030,37388482.98,,138937147.26,49999267.50,745206973.03,263303778.84
null,832585,null,null,null,null,null,,null,null,null,null
-0.19,831385,null,null,3.67,-0.0590,-20028131.83,,88427911.49,-27457253.95,810002954.42,421245464.92
0.28,834703,null,null,2.80,0.0936,20714055.41,,80984929.09,23714838.62,328614842.93,100832891.89
0.16,430369,null,null,3.95,0.0393,19575277.56,,183989197.31,22849573.94,700714143.42,223208767.40
null,830809,null,null,null,null,null,,null,null,null,null
null,831916,null,null,null,null,null,,null,null,null,null
0.37,832522,null,null,2.94,0.1387,16758362.53,,49109018.97,19168148.01,349257293.39,200460501.63
0.04,833968,null,null,1.47,0.0091,1491378.52,,12460473.41,130744.90,119535040.25,41659942.58
0.25,430566,null,null,4.64,0.0504,17700307.97,,68476674.13,20825010.89,453124954.90,165239209.57
null,832469,null,null,null,null,null,,null,null,null,null
0.59,832694,null,null,4.86,0.1265,22920945.12,,79800194.55,28924785.98,398060638.06,208626618.86
0.08,834761,null,null,2.25,0.0435,4513944.05,,12651343.68,6055778.78,170114147.91,58758384.66
null,834977,null,null,null,null,null,,null,null,null,null
0.09,835133,null,null,1.16,0.0713,4556104.30,,6785206.90,4104587.44,203810758.85,144766696.54
0.04,836361,null,null,2.09,0.0117,32169511.46,,453435367.52,29953019.73,2676606450.59,581647358.37
-0.25,832199,null,null,0.84,-0.2521,-2700667.50,,-10363056.66,-3422292.27,21730493.39,12465419.97
0.03,832255,null,null,4.79,0.0028,1249812.36,,32148218.93,826598.68,269308460.64,58661780.80
0.12,834245,null,null,1.47,0.0751,4012276.62,,10428292.24,3908975.40,81675353.83,33155335.32
null,430620,null,null,null,null,null,,null,null,null,null
0.06,832080,null,null,2.41,0.0218,5212170.96,,-43292432.73,4337101.57,445395251.38,244988192.58
null,833132,null,null,null,null,null,,null,null,null,null
0.05,833770,null,null,5.26,0.0110,4778340.39,,97062752.16,10415302.92,788377550.60,244200656.21
null,833563,null,null,null,null,null,,51232603.67,null,536006564.76,151576948.37
0.33,835842,null,null,4.83,0.0784,17190311.38,,61487701.61,19535384.41,348729772.24,58860978.35
0.36,430234,null,null,2.53,0.1773,12573533.76,,18895024.08,12596878.58,119237395.34,30195499.76
0.25,834770,null,null,2.13,0.1140,21874660.93,,73097037.88,23091353.45,609657898.88,288451027.24
0.43,832814,null,null,4.32,0.1014,31108439.73,,120614777.37,38983043.69,548299759.97,178539587.83
0.40,831067,null,null,4.00,0.0790,28053361.13,,113303525.77,24193401.52,431132471.53,147584482.02
null,834880,null,null,null,null,null,,null,null,null,null
0.04,834086,null,null,5.96,0.0022,12393762.10,,675669022.00,4958771.48,3396393601.82,1529267711.29
0.10,837729,null,null,1.65,0.0175,2803875.72,,10474773.58,383561.69,91603529.24,45058149.27
0.02,834668,null,null,1.20,0.0186,1162995.55,,5179964.35,1807120.34,64505635.36,3649813.09
0.13,832800,null,null,2.09,0.0554,52181644.26,,353297689.31,46019860.52,1053287783.03,195016568.38
0.02,833333,null,null,3.82,0.0056,340017.05,,22130926.15,566823.31,82675279.95,11566835.83
0.01,871631,null,null,1.66,-0.0375,364130.68,,2783137.25,486107.58,73212538.07,11843263.06
0.14,430237,null,null,1.86,0.0698,12504782.23,,70708024.84,12215509.85,277458267.55,113816002.71
0.02,430569,null,null,2.30,0.0094,1727875.46,,22543682.89,1525291.95,318336938.25,161244313.59
-0.11,430545,null,null,2.88,-0.0392,-4729452.14,,9309290.19,-4822372.30,150967434.25,48150266.39
0.26,834474,null,null,2.48,0.0970,null,,24545430.64,8603463.19,148246287.97,69335220.30
0.05,831546,null,null,3.09,0.0161,3896175.83,,60694533.74,4515011.40,289322331.59,21181413.61
null,833379,null,null,null,null,null,,null,null,null,null
0.27,832276,null,null,2.40,0.0876,35745747.97,,171848893.96,44179967.64,1014508726.80,590548543.20
0.15,831878,null,null,4.97,0.0305,8756935.24,,61311701.00,9683604.22,601063904.04,228294640.32
null,430353,null,null,null,null,null,,null,null,null,null
null,832953,null,null,null,null,null,,null,null,197676358.85,null
-0.11,870914,null,null,0.23,-0.3344,-1075359.83,,-8108536.38,-1133462.36,31251905.46,28942933.65
0.14,832327,null,null,5.35,0.0229,5621747.84,,99568461.35,5136465.46,320712985.15,87632163.30
0.07,832768,null,null,2.26,0.0247,4436108.56,,30464919.25,4065660.36,152244011.91,10070513.91
0.17,838696,null,null,1.48,0.1367,6382006.54,,16831115.70,7519930.40,180599198.12,120900114.08
-0.13,833504,null,null,1.75,-0.0715,-4455595.69,,2949681.41,-5118987.95,85258123.57,27983746.53
null,430127,null,null,null,null,null,,null,null,4226472072.07,580370029.28
0.14,831284,null,null,1.76,0.0642,52352864.29,,220544903.97,52687907.56,1430912462.54,796220932.71
0.34,833186,null,null,2.09,0.1552,23056961.85,,46750339.05,25953488.88,342060320.53,201127147.46
0.48,834859,null,null,3.84,0.1304,36484742.72,,125613609.61,45524616.78,560214665.70,293049252.03
0.01,839259,null,null,1.19,0.0126,1047686.17,,2320628.28,1247175.17,91723032.35,8305253.47
0.02,831331,null,null,3.61,0.0007,738938.01,,58444305.84,130380.03,246691106.53,98115419.43
0.24,831710,null,null,3.66,0.0621,49759521.69,,174486703.58,55617949.71,1487480312.92,729655895.34
null,832708,null,null,null,null,null,,null,null,null,null
0.11,833913,null,null,2.20,0.0512,24353331.82,,206004652.82,40943099.47,995165275.24,441612099.55
-0.32,835341,null,null,1.29,-0.2690,-8554806.54,,-20169994.64,-9196401.78,66463155.63,32185241.73
0.00,838342,null,null,1.51,-0.0392,-48928.41,,4375211.98,-1808910.02,168765651.94,123602686.26
0.00,430421,null,null,3.95,0.0025,43188.93,,27222427.50,-421608.12,276872723.81,104589391.18
0.27,833371,null,null,3.42,0.0753,106029744.88,,448736572.37,149753117.78,3005974899.66,1648274337.77
0.10,430074,null,null,3.72,null,null,,null,null,520816130.84,111657149.44
0.42,870020,null,null,2.50,0.1831,2497527.52,,3195117.76,2790335.99,15658278.45,807496.48
0.43,430418,null,null,3.03,0.1115,30924016.43,,101907326.83,28281261.62,328431440.91,108324527.93
null,832459,null,null,null,null,null,,null,null,null,null
null,834877,null,null,null,null,null,,null,null,null,null
null,832250,null,null,null,null,null,,null,null,null,null
0.04,832744,null,null,2.07,0.0202,2505063.72,,23564131.24,3145549.38,258239455.36,128988704.64
0.29,834710,null,null,3.52,0.0921,15542988.31,,102737861.59,17253391.20,382896671.90,181733331.72
0.14,834490,null,null,2.28,0.0531,7846068.50,,35708608.36,10682030.91,150586161.53,20932471.52
0.07,870309,null,null,1.19,0.0403,2262603.65,,3571650.76,1811199.81,71687926.26,33103034.78
0.03,833315,null,null,0.90,0.0153,1610600.47,,-13476158.87,867901.09,111588456.83,56702790.89
0.19,832540,null,null,3.71,0.0520,17106046.31,,51372221.59,20175307.09,612168754.57,273214458.14
0.15,836813,null,null,2.18,0.0967,11039053.45,,37101877.56,12595244.99,185259774.66,14788145.47
0.01,838263,null,null,1.05,0.0076,510023.23,,-1850876.70,388654.17,67720224.86,22052636.72
null,830938,null,null,null,null,null,,null,null,null,null
0.25,832910,null,null,5.68,0.0425,39845024.49,,291282643.60,38370778.14,1612845585.72,689966495.19
-0.02,831190,null,null,0.94,-0.0377,-1735678.68,,-87508052.93,-3246892.93,127223189.02,41122107.56
0.25,832958,null,null,2.63,0.1010,16569495.15,,72761368.02,20163862.39,375535337.76,204738499.04
0.16,831142,null,null,1.24,0.1367,29361014.97,,30139758.42,34038655.76,275447741.03,47367897.29
0.08,837492,null,null,1.59,0.0479,3843255.03,,12054472.88,4726126.71,96377372.66,20041184.41
0.10,833517,null,null,4.62,0.0170,9306568.54,,159907778.19,9527897.50,516732613.48,100909285.97
0.22,838053,null,null,2.51,0.0798,40240351.89,,97028948.54,44779594.67,932637768.27,455352983.22
0.21,831543,null,null,2.86,0.0882,30315090.68,,111244871.99,36883685.45,589183000.35,147929017.64
0.15,831961,null,null,4.27,0.0246,10870011.83,,131241850.27,11810512.93,461209985.65,146542834.88
null,830925,null,null,null,null,null,,83414086.11,null,572066521.84,228396771.19
